name,5,4,3,2,1,total
Donerton Smart Watch Fitness Tracker for Android Phones Fitness Tracker with Heart Rate and Sleep Monitor Activity Tracker with IP67 Waterproof Pedometer Smartwatch with Step CounterGray,57%,17%,9%,6%,11%,8977
VEESIMI Smart Watch Fitness Tracker with 23 Sport Modes Heart Rate Monitor Pedometer Smartwatch with Music Control Smartphone Notifications Sleep Monitor IP68 Waterproof Backup a Sport Loop Band,83%,17%,0%,0%,0%,22
Smart Watch 1.69'' Smartwatch for Android Phones and IOS Phones Compatible with iPhone Samsung IP68 Waterproof Fitness Tracker with Heart Rate and Sleep Monitor Pedometer Smart Watches for Men Women,80%,10%,0%,6%,4%,88
Smart Watch Fitness Tracker Men - CatShin Smartwatch with Heart Rate Blood Pressure Monitor Pedometer Sport Sleep Waterproof Bluetooth Touch Screen Compatible Android iOS Phone,25%,0%,75%,0%,0%,2
Fossil Men's Gen 5E 44mm Stainless Steel Touchscreen Smartwatch with Speaker Heart Rate Contactless Payments and Smartphone Notifications,68%,17%,6%,3%,5%,3265
Smart Watch FirYawee Smartwatch for Android Phones and iOS PhonesFitness Tracker Waterproof IP68 with Heart Rate Monitor and Sleep MonitorStep and Distance CounterSmart Watch for Men Women,60%,17%,10%,4%,9%,3106
Rinsmola 2021 Smart Watch for Android/iOS Phones1.4'' Full Touch Screen Fitness Tracker for MenWomenSmartwatch with Heart Rate/Sleep MonitorIP67 Waterproof Fitness Watch Compatible iPhone Samsung,58%,14%,10%,6%,13%,3200
Tranya Smart Watch 1.69‘’ Full Touch Color Screen 7-10 Days Battery Life Android and iOS Compatible IP68 Waterproof Fitness Tracker Heart Rate Monitor TranyaGo Sports Watch,61%,22%,8%,5%,4%,301
Amazfit GTS 2 Mini Smart Watch GPS Fitness Tracker for Men Women Alexa Built-in 14 Days Battery Life 70+ Sports Modes Blood Oxygen Heart Rate Sleep Monitor AMOLED Screen 5 ATM Waterproof-Black,61%,19%,9%,4%,7%,6854
Smart Watch for Men Women Fitness Tracker 1.69 Full Touch Screen Smartwatch with Heart Rate Monitor Sleep Monitor IP68 Waterproof Pedometer Activity Tracker Fitness Watch for Android Phones Black,66%,14%,5%,6%,10%,223
Garmin 010-01769-01 Vivoactive 3 GPS Smartwatch with Contactless Payments and Built-In Sports Apps Black with Silver Hardware,74%,15%,5%,3%,4%,10227
L8star Fitness Tracker Continuous Heart Rate Monitor IP67 Waterproof Smart Activity Tracker with 6 Sports ModeSleep MonitorPedometer Smart Wrist Band for Women Men,52%,14%,11%,8%,15%,1540
Smart Watch - CatShin Fitness Tracker for Women Android iOS Phone with Heart Rate Monitor Blood Pressure Waterproof Sleep Pedometer Bluetooth Sports Menstrual Reminder Smartwatch,92%,8%,0%,0%,0%,23
QAAEEDY Smart Watch for Android Phones iOSFitness Tracke with Heart Rate Blood Oxygen Sleep Monitor IP68 Waterproof Smart Watch Compatible iPhone Samsung Smart Watches for Women Men (Gold),54%,7%,10%,8%,21%,87
Smart Watch for Men Women 2021 1.69'' HD Touch Screen Fitness Tracker Smartwatch for Android iOS Fitness Watches Sleep Heart Rate Monitor IP68 Waterproof Pedometer Activity Tracker 24 Sports Modes,98%,0%,2%,0%,0%,68
Garmin 010-02172-21 Vivoactive 4S Smaller-Sized GPS Smartwatch Features Music Body Energy Monitoring Animated Workouts Pulse Ox Sensors Rose Gold with White Band 40mm,77%,13%,4%,2%,4%,8969
Samsung Galaxy Watch (42mm GPS Bluetooth) – Rose Gold (US Version),81%,11%,3%,2%,4%,19930
Fossil Women's Gen 5E 42mm Stainless Steel Touchscreen Smartwatch with Speaker Heart Rate Contactless Payments and Smartphone Notifications,70%,13%,7%,4%,6%,3001
Amazfit GTS 2 Smart Watch for Android iPhone Bluetooth Phone Calls Alexa GPS Built-in Fitness Sports Watch for Men Women 90 Sports Modes Blood Oxygen Heart Rate Sleep Tracking Waterproof Gold,60%,15%,11%,6%,8%,313
Smart Watch 2021 HD LCD Smart Watch for Android Phones and iPhone Compatible 3ATM Waterproof Fitness Smartwatch with Sleep Tracker Heart Rate Blood Oxygen Monitor Smart Watches for Men Black,88%,6%,1%,2%,3%,316
Smart Watch 1.69'' Touch Screen Fitness Tracker Watches for Men Women IP68 Waterproof Smartwatch with Heart Rate Monitor Sleep Monitor Pedometer Stopwatch Activity Tracker for Android/iOS,62%,17%,8%,5%,9%,2196
Samsung Electronics Galaxy Watch 4 40mm Smartwatch with ECG Monitor Tracker for Health Fitness Running Sleep Cycles GPS Fall Detection Bluetooth US Version Silver,75%,13%,6%,2%,5%,1174
"Gydom Smart Watch for Android iOS Phones1.69"" Fitness Tracker Watch Blood Oxygen Heart Rate Sleep Monitor Pedometer 5ATM Waterproof Smart Notification Weather Music Control Watch Gifts for Women Men",100%,0%,0%,0%,0%,1
2021 Smart Watches for Women Fitness Tracker with Blood Pressure Heart Rate Blood Oxygen Monitor IP68 Waterproof Activity Tracker with Pedometer Smartwatch for Android Phones,89%,8%,0%,0%,3%,89
Citizen CZ Smart Stainless Steel Smartwatch Touchscreen Heartrate GPS Speaker Bluetooth Notifications iPhone and Android Compatible Powered by Google Wear OS,55%,13%,9%,11%,12%,280
Samsung Electronics Galaxy Watch 4 40mm Smartwatch with ECG Monitor Tracker for Health Fitness Running Sleep Cycles GPS Fall Detection Bluetooth US Version Silver,75%,13%,6%,2%,5%,1174
Samsung Electronics Galaxy Watch 4 Classic 42mm Smartwatch with ECG Monitor Tracker for Health Fitness Running Sleep Cycles GPS Fall Detection Bluetooth US Version Black,66%,14%,6%,5%,9%,442
"Smart Watch for Women 1.69"" Touch Screen Fitness Tracker with 24 Sports IP67 Waterproof Smartwatch Fitness Watch with Heart Rate Monitor Sleep Monitor Stopwatch Activity Tracker for Android/iOS",90%,2%,4%,1%,3%,212
Amazfit Bip U Smart Watch Fitness Tracker for Men Women with 60+ Sports Modes 9-Day Battery Life Blood Oxygen Breathing Heart Rate Sleep Monitor 5 ATM Waterproof for iPhone Android Phone (Pink),59%,19%,9%,4%,8%,2192
SAMSUNG Galaxy Watch 3 (41mm GPS Bluetooth) Smart Watch with Advanced Health Monitoring Fitness Tracking and Long Lasting Battery - Mystic Silver (US Version),81%,12%,3%,2%,2%,2213
Eurans Smart Watch Compatible with iPhone and Android Phones Fitness Watch with Heart Rate & Sleep Monitor Smartwatch with SpO2 5ATM Waterproof Fitness Tracker for Women Men-Purple,50%,0%,0%,50%,0%,2
Smart Watch Make/Answer Call Business Sport Smart Watch for Men Women Health and Fitness Tracker with Sleep Monitor Music Player App Message Reminder Waterproof Smart Watch for Android iOS Phones,45%,18%,15%,6%,16%,286
Fitbit Versa 3 Health & Fitness Smartwatch with GPS 24/7 Heart Rate Alexa Built-in 6+ Days Battery Black/Black One Size (S & L Bands Included),76%,13%,4%,2%,4%,23796
Citizen CZ Smart Stainless Steel Smartwatch Touchscreen Heartrate GPS Speaker Bluetooth Notifications iPhone and Android Compatible Powered by Google Wear OS,55%,13%,9%,11%,12%,280
Smart Watch - CatShin Fitness Tracker for Women Android iOS Phone with Heart Rate Monitor Blood Pressure Waterproof Sleep Pedometer Bluetooth Sports Menstrual Reminder Smartwatch,92%,8%,0%,0%,0%,23
"UHOOFIT Smart Watch for Men 1.71"" Full Touch Smartwatch with Heart Rate Monitor Message Notification Sleep Monitor IP68 Waterproof Fitness Watch with 20 Mode Sports Countdown Alarm for Android iOS",60%,20%,20%,0%,0%,6
Fossil Gen 5 Carlyle Stainless Steel Touchscreen Smartwatch with Speaker Heart Rate GPS Contactless Payments and Smartphone Notifications,68%,15%,6%,4%,7%,10982
Amazfit T-Rex Pro Smart Watch with GPS Outdoor Fitness Watch for Men Military Standard Certified 100+ Sports Modes 10 ATM Waterproof 18 Day Battery Life Blood Oxygen Heart Rate Monitor Black,67%,15%,8%,3%,6%,1307
2021 Smart Watch for Android Phones Compatible with iPhone Bluetooth Dial and Answer Calls Built in Speaker Military Fitness Tracker Watch with Heart Rate Monitor Sleep Tracker for Men,58%,25%,5%,4%,9%,103
Smart Watches for Men Women Activing Fitness Tracker with Heart Rate Blood Oxygen Monitoring 3ATM Waterproof 1.69 inch Full Touch Screen Smart Watch Compatible for iOS Android (Black),51%,16%,12%,6%,15%,1173
Garmin 010-02427-00 Venu Sq GPS Smartwatch with Bright Touchscreen Display Up to 6 Days of Battery Life Slate (Renewed),44%,23%,10%,0%,23%,13
suinsist Smart Watch 2021 with Call Fitness Tracker with Sleep Monitor Activity Tracker with 1.54 Inch Touch HD Screen IP67 Waterproof Pedometer Smartwatch with Step Monitor for Android iOS Phones,55%,14%,9%,6%,16%,657
Moto 360 3rd Gen 2020 - Wear OS by Google - The Luxury Stainless Steel Smartwatch with Included Interchangeable Genuine Leather and High-Impact Sports Bands,62%,17%,7%,8%,7%,153
Garmin Lily Women’s Fitness Sport Smartwatch with Wearable4U Power Pack Bundle (Rose Gold Bezel with Light Sand Silicone Band),62%,14%,10%,2%,13%,117
Kartice No Gap Bands Compatible with 2021 Samsung Galaxy Watch 4 Classic 46mm Bands No Gaps Solid Stainless Steel Metal Watch Bands for Galaxy Watch 4 Classic 46mm Men Women Band (Silver),59%,19%,8%,6%,8%,58
Fitness Tracker Watch Activity Trackers for Women Men Exercise Fitness Watch Health Tracker Heart Rate Sleep Monitor Waterproof Smartwatch with Calories GPS Step Counter Pedometer Workout Watch,93%,7%,0%,0%,0%,36
Fitniv Smart Watch 1.55 Inch Touch Screen Smartwatch for Android and iOS Phones Fitness Tracker with Heart Rate & SpO2 & Sleep Monitor 5ATM Waterproof Pedometer Watch for Women Men Pink,63%,16%,8%,5%,9%,154
"Kimnix Smart Watch1.72"" HD Full Touch Screen Larger Battery Life Fitness TrackerAnswer Call/Text/Heart Rate/Blood Pressure/Health Bracelet and Sleep Monitor Smartwatch for Android & iOS Men Women",46%,16%,12%,6%,19%,455
Smart Watches for Men Women (Make/Answer Call 454x454 Resolution) Smart Watch for Android Phones Smartwatch with Health Monitor Message Reminder IP68 Waterproof Android Smart Watch,31%,20%,22%,5%,23%,44
"Smart Watch 2021 Watches for Men Women Fitness Tracker 1.69"" Touch Screen Smartwatch Fitness Watch Heart Rate Monitor Pedometer Sleep Monitor IP67 Waterproof Activity Tracker for Android iPhone",59%,15%,10%,6%,10%,1946
Amazfit GTR 2 Smart Watch for Android iPhone Bluetooth Call with Alexa GPS Fitness Sports Watch for Men90 Sports Modes 14-Day Battery Life Blood Oxygen Heart Rate Tracking Waterproof Classic,55%,19%,8%,6%,12%,916
(Refurbished) SAMSUNG Galaxy Watch (42mm) SM-R810NZKAXAR (Bluetooth) - Black,68%,14%,6%,3%,8%,1811
Doubc Smart Watch 1.69'' HD Full Touch Screen Fitness Watches Sport Tracker with Heart Rate Sleep Stopwatch Pedometer Tracking Running Watch IP68 Waterproof Activity Smartwatch for Men Women,68%,4%,10%,5%,12%,356
Tinwoo Smart Watch for Men and Women46mm Support Wireless ChargingBluetooth Fitness Tracker with Heart Rate Monitor Smartwatch for Android Phones Compatible with iPhone Samsung(22mm TPU Band ),57%,20%,10%,4%,9%,5055
August Connect Wi-Fi Bridge Remote Access Alexa Integration for Your August Smart Lock,69%,14%,7%,3%,7%,7689
Togala Smart Watch 1.69 Inch Touch Screen Fitness Watches for Women Sports Fitness Tracker with Sleep and Heart Rate Monitor Activity Tracker with IP67 Waterproof for Android and iOS Phones Pink,62%,12%,8%,2%,15%,536
Smart Watch for Women MAXTOP Smartwatch for Android and iOS Phones 1.4'' Full Touch Screen Activity Tracker Heart Rate Blood Oxygen Monitor Blood Pressure Sleep Tracker Watch for Men Women(Pink),67%,8%,8%,7%,10%,31
"Smart Watch for Android & iOS Phones 1.69"" Touch Screen Fitness Tracker with Heart Rate and Blood Pressure & Sleep Monitor Activity Tracker with IP68 Waterproof Pedometer Smartwatch for Women Men",64%,9%,27%,0%,0%,10
"TECCER Smart Watch for Android iOS Phones 1.78"" Smartwatch Supports Bluetooth Call Fitness Tracker with Heart Rate Sleep Monitor Blood Oxygen IP68 Waterproof Sports Smart Watch for Men Women",44%,17%,17%,5%,17%,38
Smart Watches for Women AOKESI 2021 Smart Watch for Android Phones and iPhone Compatible with Alexa Built-in 5ATM Waterproof Fitness Smartwatch with Sleep Tracker Heart Rate Blood Oxygen Monitor,76%,9%,6%,3%,6%,650
"mebossco Smart Watch IP68 Waterproof Smartwatch Fitness Tracker with Heart Rate Monitor Sleep Monitor 1.4"" Sports Watch for Women Men Step Counter Activity Tracker for Android iOS Phones Black",56%,14%,10%,6%,14%,433
"MISIRUN 1.71"" Smart Watch Activity Fitness Tracker Support Sleep Heart Rate Monitor Text and Call Reminder IP68 Waterproof Step Counter 20 Modes Sports for Women Men Android Phones iPhone Compatible",66%,19%,6%,4%,5%,264
SAMSUNG Gear S3 Frontier Smartwatch (Bluetooth) SM-R760NDAAXAR,76%,11%,4%,2%,6%,8705
Smart Watch for Android iOS Phones Compatible 1.57 inch Full Touch Screen Fitness Tracker with Heart Rate & Blood Oxygen Monitoring IP68 Waterproof Smart Watches for Men Women (Black),44%,21%,12%,4%,19%,126
Y&L Smart Watch Fitness Tracker with Heart Rate Monitor and SpO2 Sleep Monitor 5ATM Waterproof Smartwatch Compatible with iPhone and Android Phones for Women Men Pink,45%,0%,0%,27%,27%,4
Smart Watch 1.69 Inch Fitness Tracker with 24 Sports Modes Blood Oxygen Heart Rate Monitor and Sleep Tracking Calorie Step Counter Activity Tracker IP68 Waterproof Smartwatch for Men Women,50%,15%,11%,8%,15%,210
"Blackview Smart Watch for Android Phones and iOS Phones All-Day Activity Tracker with Heart Rate Sleep Monitor 1.3"" Full Touch Screen 5ATM Waterproof Pedometer Smartwatch for Men Women",60%,17%,11%,5%,7%,4565
Smart Watch for Men Women (Make/Answer Call 360x360 Resolution) Smart Watch for Android iOS Phones with Fitness Tracker Health Monitor App Message Reminder IP 68 Waterproof Men Smart Watch,40%,12%,14%,7%,27%,93
Smart Watch - CatShin Fitness Tracker for Women Android iOS Phone with Heart Rate Monitor Blood Pressure Waterproof Sleep Pedometer Bluetooth Sports Menstrual Reminder Smartwatch,92%,8%,0%,0%,0%,23
Smart Watch for Men WomenCUBOT W03 Smartwatch Ultra-Thin Full Touch Screen IP68 Waterproof Sport Watch Fitness Tracker Heart Rate Pedometer Sleep Monitor Compatible iPhone Samsung Android(Black),55%,17%,13%,7%,8%,275
VEESIMI Smart Watch Fitness Tracker with 23 Sport Modes Heart Rate Monitor Pedometer Smartwatch with Music Control Smartphone Notifications Sleep Monitor IP68 Waterproof Backup a Sport Loop Band,83%,17%,0%,0%,0%,22
Smart Watch - CatShin Fitness Tracker for Women Android iOS Phone with Heart Rate Monitor Blood Pressure Waterproof Sleep Pedometer Bluetooth Sports Menstrual Reminder Smartwatch,92%,8%,0%,0%,0%,23
"Blackview Smart Watch for Android Phones and iOS Phones All-Day Activity Tracker with Heart Rate Sleep Monitor 1.3"" Full Touch Screen 5ATM Waterproof Pedometer Smartwatch for Men Women",60%,17%,11%,5%,7%,4565
(Renewed) Samsung Galaxy Active 2 Smartwatch 40mm with Extra Charging Cable Pink Gold - SM-R830NZDCXAR,80%,11%,3%,1%,4%,4083
Y&L Smart Watch Fitness Tracker with Heart Rate Monitor and SpO2 Sleep Monitor 5ATM Waterproof Smartwatch Compatible with iPhone and Android Phones for Women Men Pink,45%,0%,0%,27%,27%,4
Cillso Smart Watch 1.69''Fitness Tracker for Men Women Smartwatch Heart Rate/Sleep Monitor 24 Sports Modes Fitness Watch IP68 Waterproof Pedometer/Notification Activity Tracker for Android iOS,95%,5%,0%,0%,0%,97
Togala Smart Watch 1.69 Inch Touch Screen Smartwatch for Android and iOS Phones Fitness Tracker with Heart Rate and Sleep Monitor IP67 Waterproof Activity Tracker with 24 Sports Modes for Men Women,62%,12%,8%,2%,15%,536
August Connect Wi-Fi Bridge Remote Access Alexa Integration for Your August Smart Lock,69%,14%,7%,3%,7%,7689
PlayZoom 2 Kids Smartwatch - Video Camera Selfies STEM Learning Educational Fun Games MP3 Music Player Audio Books Touch Screen Sports Digital Watch Gift for Kids Toddlers Boys Girls Fun Prints,46%,25%,12%,0%,17%,40
Fitniv Smart Watch 1.4 Inch Touch Screen Smartwatch with Heart Rate Monitor IP68 Waterproof Fitness Tracker Compatible with iPhone and Android Phones for Women Men,67%,15%,5%,5%,8%,164
Smart Watch 1.69'' Smartwatch for Android Phones and IOS Phones Compatible with iPhone Samsung IP68 Waterproof Fitness Tracker with Heart Rate and Sleep Monitor Pedometer Smart Watches for Men Women,80%,10%,0%,6%,4%,88
CanMixs Smart Watch for Android Phones iOS Fitness Tracker Watch with Heart Rate Blood Oxygen Sleep Monitor IP68 Waterproof Smart Watches for Men Women Digital Smartwatch Compatible iPhone Samsung,52%,23%,9%,6%,10%,91
"mebossco Smart Watch IP68 Waterproof Smartwatch Fitness Tracker with Heart Rate Monitor Sleep Monitor 1.4"" Sports Watch for Women Men Step Counter Activity Tracker for Android iOS Phones Black",56%,14%,10%,6%,14%,433
Kenneth Cole New York Wellness Watch Smartwatch with Health Technology Sport Modes and Smartphone Capabilities (Model: KCWGP2174001),0%,0%,100%,0%,0%,1
"Hamile 2021 Version 1.55"" Smart Watch for Android Phones Compatible with iPhone Fitness Watch with Heart Rate Monitor Sleep Tracker 5ATM Waterproof Smart Watches for Women Men 200+ Dials Lavender",62%,16%,7%,8%,7%,432
SKMEI Smart Watch for Women Smart Watches for Android and iOS Phones Waterproof Fitness Activity Tracker with Heart Rate Sleep Monitor Smartwatch with Full Touch Screen Pedometer Call Reminder,49%,21%,7%,7%,16%,54
Military Smart Watch for Men Outdoor Waterproof Tactical Smartwatch Bluetooth Dail Calls Speaker 1.3'' HD Touch Screen Fitness Tracker Watch Compatible with iPhone Samsung,50%,27%,5%,8%,10%,45
Blackview Smart Watch for Android Phones Compatible with iPhone Samsung Fitness Watch with Blood Oxygen & Heart Rate Sleep Monitor 5ATM Waterproof Pedometer Smart Watches for Men Women (2 Bands),63%,19%,9%,2%,6%,1309
Amazfit Bip S Lite Smart Watch Fitness Tracker for Men 30 Days Battery Life 1.28”Always-on Display 14 Sports Modes Heart Rate & Sleep Monitor 5 ATM Waterproof for Android Phone iPhone(Blue),50%,20%,9%,6%,15%,2211
Smart Watch for Android iOS Phones ZOSKVEE Smartwatch with Heart Rate Sleep Monitor Pedometer Fitness Watch Fitness Tracker with 5ATM Waterproof for Men Women,72%,13%,5%,4%,7%,124
Smart Watch Fitness Tracker Men - CatShin Smartwatch with Heart Rate Blood Pressure Monitor Pedometer Sport Sleep Waterproof Bluetooth Touch Screen Compatible Android iOS Phone,25%,0%,75%,0%,0%,2
"Gydom Smart Watch for Android iOS Phones1.69"" Fitness Tracker Watch Blood Oxygen Heart Rate Sleep Monitor Pedometer 5ATM Waterproof Smart Notification Weather Music Control Watch Gifts for Women Men",100%,0%,0%,0%,0%,1
Kartice No Gap Bands Compatible with 2021 Samsung Galaxy Watch 4 Classic 46mm Bands No Gaps Solid Stainless Steel Metal Watch Bands for Galaxy Watch 4 Classic 46mm Men Women Band (Silver),59%,19%,8%,6%,8%,58
QAAEEDY Smart Watch for Android Phones iOSFitness Tracke with Heart Rate Blood Oxygen Sleep Monitor IP68 Waterproof Smart Watch Compatible iPhone Samsung Smart Watches for Women Men (Gold),54%,7%,10%,8%,21%,87
"WYZE Smart Watch 1.75""(47mm)Aluminum Smartwatch for Android Phones and iOS Phones IP68 Waterproof Fitness Tracker with Heart Rate/Blood Oxygen/Sleep/ Menstrual Monitor Digital Watch for Women and Men",58%,19%,12%,5%,6%,321
GADIXY Bluetooth Call SmartWatch Fitness Activity Tracker Smart Watch for Women IP67 Waterproof Heart Rate Sleep Monitor Smart Watches for Android iPhone Phones (Black),0%,27%,27%,0%,46%,4
Pradory Smart Watch Fitness Watch Activity Tracker for Android iOS Phones Ip67 Waterproof Bluetooth Smartwatch Touch Screen Sports Watch with Heart Rate Blood Pressure Monitor Men Women Black,86%,9%,3%,1%,1%,1442
4G Kids Smartwatch Smart Watch for Kids IP67 Waterproof Watches with GPS Tracker 2 Way Call Camera Voice & Video Call SOS Alerts Pedometer WiFi Wrist Watch 3-12 Years Boys Girls Gifts,62%,6%,9%,6%,17%,24
Smart Watch Full Touch Smartwatch for Android Phones and Compatible iPhone Samsung IP68 Waterproof Fitness Tracker with Heart Rate and Sleep Monitor Step Counter Smart Watches for Men Women,39%,16%,21%,16%,7%,34
"Smart Watch 2021 Watches for Men Women Fitness Tracker 1.69"" Touch Screen Smartwatch Fitness Watch Heart Rate Monitor Pedometer Sleep Monitor IP67 Waterproof Activity Tracker for Android iPhone",59%,15%,10%,6%,10%,1946
Samsung Galaxy Watch (42mm GPS Bluetooth) – Midnight Black (US Version),81%,11%,3%,2%,4%,19930
"Smart Watch AGPTEK 1.69""(43mm) Smartwatch for Android and iOS Phones IP68 Waterproof Fitness Tracker Watch Heart Rate Monitor Pedometer Sleep Monitor for Men Women Black LW31",54%,15%,12%,5%,13%,1585
Smart Watch 1.69'' Smartwatch for Android Phones and IOS Phones Compatible with iPhone Samsung IP68 Waterproof Fitness Tracker with Heart Rate and Sleep Monitor Pedometer Smart Watches for Men Women,80%,10%,0%,6%,4%,88
Smart Watch Fitness Tracker Men - CatShin Smartwatch with Heart Rate Blood Pressure Monitor Pedometer Sport Sleep Waterproof Bluetooth Touch Screen Compatible Android iOS Phone,25%,0%,75%,0%,0%,2
Fossil Men's Gen 6 44mm Stainless Steel and Leather Touchscreen Smart Watch Color: Black Brown (Model: FTW4062V),58%,23%,4%,9%,6%,75
"Smart Watch 2021 for Women Fitness Tracker 1.69"" Touch Screen Smartwatch Fitness Watch IP68 Waterproof 24 Sports Heart Rate Monitor/Pedometer/Sleep Monitor Activity Tracker for Android iPhone Pink",45%,15%,11%,7%,23%,224
CanMixs Smart Watch for Android Phones iOS Waterproof Smart Watches for Women Men Sports Digital Watch Fitness Tracker Heart Rate Blood Oxygen Sleep Monitor Touch Screen Compatible Samsung iPhone,56%,16%,11%,6%,12%,6300
"Dirrelo Smart Watch Alexa Smartwatch for Android Phones iPhone Compatible Women Men 1.69"" Touch Screen 300+ Dials 5ATM Waterproof Fitness Tracker Watch Heart Rate/Blood Oxygen/Sleep Monitor Blue",53%,22%,12%,4%,9%,128
Smart Watches for Men ANDFZ 2021 Version 1.30'' Smart Watch for Android iOS Phones with Receive/dial (T42-Black),100%,0%,0%,0%,0%,2
"Smartwatch for Men Fashion Fitness Tracker Bluetooth Calls Voice Chat Fashion Steel with Blood Pressure Heart Rate Sleep Monitor1.3"" Full Touch Screen Activity Trackers IP67 Waterproof Pedometer for iOS Android",63%,18%,7%,5%,7%,256
